year,city_name,city_code,index_aggregate,coverage_breadth,usage_depth,payment,insurance,monetary_fund,investment,credit,credit_investigation,digitization_level,city_norm,source_name_version
2011,延安市,6106,33.3,49.76,19.73,73.63,23.86,,,11.97,,3.64,延安,year14
2011,延边朝鲜族自治州,2224,51.55,58.36,47.28,43.9,33.37,,,53.47,,36.79,延边朝鲜族,year14
2011,开封市,4102,36.99,26.49,42.72,24.6,19.89,,,54.28,,61.26,开封,year14
2011,张家口市,1307,47.19,42.8,47.95,41.45,54.72,,,45.86,,60.31,张家口,year14
2011,张家界市,4308,40.79,36.26,67.13,49.75,43.05,,,79.13,,7.9,张家界,year14
2011,张掖市,6207,48.41,44.01,36.77,10.34,19.83,,,46.8,,84.08,张掖,year14
2011,徐州市,3203,59.82,64.13,65.31,72.62,42.38,,,74.06,,35.64,徐州,year14
2011,德宏傣族景颇族自治州,5331,48.1,31.95,66.28,63.85,79.11,,,61.19,,68.41,德宏傣族景颇族,year14
2011,德州市,3714,37.77,29.34,50.35,31.57,8.5,,,69.91,,42.76,德州,year14
2011,德阳市,5106,56.7,55.26,55.26,63.68,85.11,,,41.86,,64.05,德阳,year14
2011,忻州市,1409,40.6,41.21,12.49,31.94,37.21,,,0.01,,89.66,忻州,year14
2011,怀化市,4312,35.28,26.19,45.33,59.0,37.26,,,47.16,,47.01,怀化,year14
2011,怒江傈僳族自治州,5333,37.06,16.2,52.02,10.04,59.41,,,53.64,,78.73,怒江傈僳族,year14
2011,恩施土家族苗族自治州,4228,44.35,35.82,61.91,52.83,37.18,,,73.24,,40.61,恩施土家族苗族,year14
2011,惠州市,4413,69.23,71.13,69.89,55.24,56.88,,,76.96,,61.74,惠州,year14
2011,成都市,5101,80.2,95.6,74.5,67.36,79.87,,,73.05,,39.72,成都,year14
2011,扬州市,3210,68.16,77.63,75.85,91.96,67.08,,,77.7,,22.94,扬州,year14
2011,承德市,1308,44.82,42.89,50.57,44.29,56.34,,,48.86,,40.76,承德,year14
2011,抚州市,3610,40.72,28.49,65.36,69.96,52.61,,,70.17,,36.36,抚州,year14
2011,抚顺市,2104,54.12,59.84,45.11,49.78,32.44,,,49.87,,51.63,抚顺,year14
